+---------------------------+--------+--------------------------------------+
|       Professor Name      | Rating |               Subject                |
|       Michelle Rosen      |  0.0   |             Engineering              |
|       Naomi Stephen       |  2.9   |               Writing                |
|      Carmine Gibaldi      |  0.0   |              Management              |
|        Archon Fung        |  0.0   |              Government              |
|     Tomas MairaLitran     |  0.0   |               Medicine               |
|      Geraldine Grimm      |  4.8   |               Writing                |
|        Oliver Knill       |  4.2   |             Mathematics              |
|         Ryan Draft        |  3.5   |               Biology                |
|       Michael Stein       |  0.0   |                 Law                  |
|      Martin Feldstein     |  2.9   |              Economics               |
|      Kresling Matthew     |  4.8   |               Writing                |
|        Glenn Cohen        |  3.8   |                 Law                  |
|        Garth Coombs       |  5.0   |              Psychology              |
|       Michael Smith       |  3.5   |           Computer Science           |
|    Petros Koumoutsakos    |  0.0   |             Engineering              |
|       Sherwin Navai       |  5.0   |           Computer Science           |
|       Steven Pinker       |  3.1   |              Psychology              |
|         Peter Bol         |  4.0   |               History                |
|     Ewa LajerBurcharth    |  0.0   |              Fine Arts               |
|       Howard Georgi       |  3.9   |               Physics                |
|     Evelina Tsoncheva     |  0.0   |               Physics                |
|        Max Krasnow        |  3.5   |              Psychology              |
|      Federico Capasso     |  5.0   |             Engineering              |
|       Jelani Nelson       |  4.2   |           Computer Science           |
|       Michael Flier       |  2.2   |              Languages               |
|       Phillip Fisher      |  3.5   |               English                |
|        Remo Airaldi       |  4.9   |               Theater                |
|       Alex Hafliger       |  5.0   |            Communication             |
|         Greg Sabin        |  4.7   |              Management              |
|        Bruno Sergi        |  4.6   |          Political Science           |
|       Mona Weissmark      |  4.8   |              Psychology              |
|         Joe Harris        |  4.6   |             Mathematics              |
|       Margo Seltzer       |  4.4   |           Computer Science           |
|        Jill Hooley        |  1.8   |              Psychology              |
+---------------------------+--------+--------------------------------------+
